Date / Time,City,State,Shape,Duration,Summary,Posted
10/2/12 21:30,Anchorage,AK,Formation,7 minutes,25 to 35 light orange orbs in sky...not flares,10/30/2012
10/20/12 23:00,Anchorage,AK,Light,20+ minutes,"3 bright lights (same hew as the stars) darting around the area of the Big Dipper, 2 seemed to be ""attacking"" the 1",10/30/2012
10/20/76 22:00,Soldotna,AK,Sphere,2 hrs.,Strange Site and Time Red Orb Encounter,4/16/2005
10/21/11 21:00,Anchorage,AK,Circle,5 minutes,"Orange circles ""climbing"" then fading away",10/25/2011
10/21/12 18:30,Anchorage,AK,Cylinder,30 seconds,"Cylindrical lights, Anchorage",10/30/2012
10/22/03 7:00,Anchorage,AK,Other,30sec,Me and my freinds saw a red light and it whent straight up fast (no plain can move up that fast)then disapered after about 30 sec,10/31/2003
10/22/13 18:30,Glenallen (Close to),AK,Other,30 minutes,"Dozens of lights seen, two very large crafts.",7/20/2014
10/22/14 20:30,Wasilla,AK,Circle,All night,"I saw a bright colorfull object on a very clear dark starry sky With red, green, & white lights moving in a circular motion.",11/6/2014
10/23/06 21:00,Anchorage,AK,Circle,2 Hours +,"Multiple craft sighted above a Anchorage, Ak",10/30/2006
10/23/06 21:03,Anchorage,AK,Changing,@ 10 minutes,INTENSE AMBER-ORANGE HONEYCOMB SHAPED DUAL HORIZONTAL LIGHT; SILENT DESCENT....,12/7/2006
10/23/11 20:45,Wasilla,AK,Sphere,30 mins,Fake Star above Wasilla 10-23-11 Only visible light in the sky Period. ((NUFORC Note: Star or planet? Possibly Jupiter? PD)),10/25/2011
10/23/11 20:45,Wasilla,AK,Sphere,30mins,Fake Star above Wasilla 10-23-11 Only visible light in the sky Period.,12/12/2011
10/23/13 18:00,Anchorage,AK,Light,2-3 minutes,Driving on Fort Richardson saw 1 orange bright light above Arctic valley that appeared droped disapered then reappeared .,11/11/2013
10/23/13 20:00,Anchorage,AK,Circle,15 minutes,"Approx. 12 orange orbs moving across the sky from the NW to the SE , moving towards outer space.",11/11/2013
10/25/12 23:00,North Pole,AK,Light,15 seconds,It was late at night and me and my mother were taking our dog out. It was late at night so the sky was almost pitch black with but a fe,12/20/2012
10/25/16 19:45,Fairbanks,AK,Triangle,2-3 minutes,UFO HOVERS ABOVE GAVORA MALL.,10/27/2016
10/26/00 23:30,Anchorage,AK,Light,8 hours,"Missing time ........ Why is it 7:45 am , when I just looked at the clock and it was 1:15 am a second ago?",12/2/2000
